"Gene","log2FoldChange","pvalue","padj"
"GENE_88",-0.156725503687453,0.00792989395222279,0.637593653948772
"GENE_4",0.197939377611909,0.0127518730789754,0.637593653948772
"GENE_54",-0.127392424330381,0.0341337283028328,0.83454608539345
"GENE_9",0.135191369457146,0.0442841830564,0.83454608539345
"GENE_62",0.124362424061869,0.0559201100132569,0.83454608539345
"GENE_52",0.186678236180583,0.0611423324689082,0.83454608539345
"GENE_7",0.0986610478552035,0.0845103601988486,0.83454608539345
"GENE_1",0.167763012365613,0.0894493786972147,0.83454608539345
"GENE_80",0.130674185359819,0.131547718729892,0.83454608539345
"GENE_34",-0.140883650252654,0.133492633287035,0.83454608539345
"GENE_69",-0.160957009174064,0.134754471431278,0.83454608539345
"GENE_11",0.108308887851225,0.14883736445024,0.83454608539345
"GENE_59",0.0584597305479987,0.150518185262062,0.83454608539345
"GENE_93",0.102930695477964,0.179314470179857,0.83454608539345
"GENE_14",-0.0593210909351981,0.195203353990241,0.83454608539345
"GENE_25",0.108580813153921,0.196288650966835,0.83454608539345
"GENE_55",0.145457145957841,0.206944279491535,0.83454608539345
"GENE_42",0.17660725072492,0.210221806116547,0.83454608539345
"GENE_70",-0.117189859232792,0.210709338959189,0.83454608539345
"GENE_16",0.0767031018236003,0.213026477221962,0.83454608539345
"GENE_100",0.113700499164728,0.217391547975691,0.83454608539345
"GENE_91",0.0600473836699389,0.21774755842967,0.83454608539345
"GENE_33",-0.0905866081918652,0.217768419457856,0.83454608539345
"GENE_31",0.0981429273415799,0.220363206091213,0.83454608539345
"GENE_86",-0.0963037328469481,0.222629557089563,0.83454608539345
"GENE_5",0.0543826201730963,0.2310050972615,0.83454608539345
"GENE_18",-0.1045889012772,0.252704709469006,0.83454608539345
"GENE_22",0.120217082187391,0.273692012056806,0.83454608539345
"GENE_10",-0.101467639076841,0.306324162133896,0.83454608539345
"GENE_46",-0.0727416066975197,0.309685952132019,0.83454608539345
